time,running,percent,total,covered
1000,1,0.22,76,17
2000,1,0.24,76,18
3000,1,0.24,76,18
4000,1,0.24,76,18
5000,1,0.64,76,49
6000,1,0.67,76,51
7000,1,0.67,76,51
8000,1,0.67,76,51
9000,1,0.67,76,51
10000,1,0.67,76,51
11000,1,0.67,76,51
12000,1,0.67,76,51
13000,1,0.67,76,51
14000,1,0.67,76,51
15000,1,0.67,76,51
16000,1,0.67,76,51
17000,1,0.67,76,51
18000,1,0.67,76,51
19000,1,0.67,76,51
20000,1,0.67,76,51
21000,1,0.67,76,51
22000,1,0.67,76,51
23000,1,0.67,76,51
24000,1,0.67,76,51
25000,1,0.67,76,51
26000,1,0.67,76,51
27000,1,0.67,76,51
28000,1,0.67,76,51
29000,1,0.67,76,51
30000,1,0.67,76,51
31000,1,0.67,76,51
32000,1,0.67,76,51
33000,1,0.67,76,51
34000,1,0.67,76,51
35000,1,0.67,76,51
36000,1,0.67,76,51
37000,1,0.67,76,51
38000,1,0.67,76,51
39000,1,0.67,76,51
40000,1,0.84,76,64
41000,1,0.86,76,65
42000,1,0.87,76,66
43000,1,0.87,76,66
44000,1,0.87,76,66
45000,1,0.87,76,66
46000,1,0.87,76,66
47000,1,0.87,76,66
48000,1,0.87,76,66
49000,1,0.87,76,66
50000,1,0.87,76,66
51000,1,0.87,76,66
52000,1,0.87,76,66
53000,1,0.87,76,66
54000,1,0.87,76,66
55000,1,0.87,76,66
56000,1,0.87,76,66
57000,1,0.87,76,66
58000,1,0.87,76,66
59000,1,0.87,76,66
60000,1,0.87,76,66
61000,1,0.87,76,66
62000,1,0.87,76,66
63000,1,0.87,76,66
64000,1,0.87,76,66
65000,1,0.87,76,66
66000,1,0.87,76,66
67000,1,0.87,76,66
68000,1,0.87,76,66
69000,1,0.87,76,66
70000,1,0.87,76,66
71000,1,0.87,76,66
72000,1,0.87,76,66
73000,1,0.87,76,66
74000,1,0.87,76,66
75000,1,0.87,76,66
76000,1,0.87,76,66
77000,1,0.87,76,66
78000,1,0.89,76,68
79000,1,0.89,76,68
80000,1,0.89,76,68
81000,1,0.89,76,68
82000,1,0.89,76,68
83000,1,0.89,76,68
84000,1,0.89,76,68
85000,1,0.89,76,68
86000,1,0.89,76,68
87000,1,0.89,76,68
88000,1,0.89,76,68
